Fold,Train_Accuracy,Train_Precision,Train_Recall,Train_F1,Train_MCC,Val_Accuracy,Val_Precision,Val_Recall,Val_F1,Val_MCC,Test_Accuracy,Test_Precision,Test_Recall,Test_F1,Test_MCC,Training_Time,Val_Accuracy_Epoch,Learning_Rate,batch_size,adaptive_method
10,0.999219482,0.999372688,0.998563983,0.998967189,0.998798339,0.998858447,0.999225437,0.997876486,0.998547437,0.998243855,0.999170223,0.999401395,0.998459143,0.998928558,0.998722677,153.7670472,0.998858452,0.01,128,MLP
1,0.999804869,0.999777962,0.999633375,0.999705593,0.999699586,0.999824384,0.999883064,0.999668325,0.999775616,0.999729553,0.999802434,0.999858176,0.999609008,0.999733429,0.999695843,115.8480542,0.999956071,0.01,128,Novel
2,0.999541443,0.999481439,0.999209567,0.999344841,0.999294404,0.999648768,0.999602971,0.999383919,0.999493079,0.999457805,0.999525842,0.999477721,0.999172207,0.99932432,0.999270139,119.4571986,0.999956071,0.01,128,Novel
3,0.999692669,0.999492153,0.999616757,0.999554296,0.999526597,0.999560961,0.999340553,0.999370146,0.999354785,0.99932801,0.999762921,0.999632237,0.999715766,0.999673949,0.999635016,164.9937074,0.999736547,0.01,128,Novel
4,0.999107278,0.999242614,0.998381639,0.998810712,0.998626224,0.999165825,0.999217937,0.998505982,0.99886076,0.998711093,0.999367789,0.999501845,0.998839938,0.999170135,0.999026681,127.6744437,0.999780476,0.01,128,Novel
5,0.998790191,0.998410321,0.997866147,0.998136229,0.998136567,0.998902402,0.998444886,0.998108733,0.998275057,0.998318591,0.999091196,0.998631117,0.998464573,0.998545927,0.998601189,121.9384837,0.999780476,0.01,128,Novel
6,0.999507295,0.999214489,0.999377674,0.999295569,0.99924163,0.999341441,0.998984111,0.999139525,0.999060793,0.998986371,0.999446815,0.999190297,0.999243919,0.999216414,0.999148526,114.2124155,0.999824405,0.01,128,Novel
7,0.999897556,0.999856539,0.999851522,0.999854012,0.999842243,0.999912192,0.999906123,0.999859324,0.999882708,0.999865095,0.999920974,0.999962029,0.999843603,0.99990279,0.999878332,165.4278879,0.999956071,0.01,128,Novel
8,0.999321921,0.999477031,0.998740221,0.999107691,0.998956736,0.999165825,0.999361913,0.998453028,0.998905928,0.998708595,0.999209736,0.999467615,0.99854453,0.999004762,0.998783428,118.0969303,0.999912202,0.01,128,Novel
9,0.999858531,0.999876679,0.999725219,0.99980088,0.999782224,0.999780471,0.999828684,0.999589079,0.999708774,0.999661655,0.999841947,0.999894533,0.999687207,0.999790766,0.99975667,132.1946659,0.999780476,0.01,128,Novel
10,0.999399977,0.999216905,0.999160671,0.999188496,0.99907623,0.99947313,0.999262507,0.999348856,0.999305401,0.999189367,0.999446815,0.999361944,0.999156578,0.999259068,0.999148307,117.0979738,0.999956071,0.01,128,Novel
1,0.999960974,0.999963002,0.999930394,0.999946695,0.999939916,1,1,1,1,1,0.999960487,0.999981013,0.999921802,0.999951401,0.999939165,82.55755711,1,0.01,256,Adaptive
2,0.999829261,0.999715429,0.999790263,0.999752721,0.999737255,0.999868288,0.999781277,0.999838606,0.999809868,0.999796666,0.99988146,0.999802424,0.999854425,0.999828364,0.999817514,101.1918991,0.999868274,0.01,256,Adaptive
3,0.999658522,0.999471318,0.999439356,0.999455091,0.999473981,0.999736576,0.999629796,0.99958028,0.999604919,0.999596721,0.99988146,0.999884001,0.999777692,0.999830808,0.999817497,57.84004879,1,0.01,256,Adaptive
4,0.999190208,0.99894263,0.999055925,0.998999258,0.99875379,0.999034113,0.998685558,0.998871192,0.998778335,0.99850756,0.999051683,0.998611342,0.999011391,0.998811125,0.998540285,104.3351223,0.999034107,0.01,256,Adaptive
5,0.998531643,0.99788272,0.997266739,0.997570738,0.997738791,0.998375554,0.997776407,0.997006887,0.997386653,0.997511969,0.998735578,0.998138594,0.997620528,0.997875855,0.998053979,131.6048541,0.998375535,0.01,256,Adaptive
6,0.9996634,0.999509658,0.999538831,0.999523901,0.999481878,0.999824384,0.999809375,0.999721267,0.999765256,0.999729611,0.999644381,0.999548207,0.999474256,0.999510933,0.999452553,87.53638935,0.999868274,0.01,256,Adaptive
7,0.999941461,0.999923771,0.999899267,0.99991151,0.999909853,1,1,1,1,1,0.999920974,0.999885591,0.999843603,0.999864566,0.999878334,76.17320824,1,0.01,256,Adaptive
8,0.9998878,0.999810614,0.999828174,0.999819379,0.999827362,0.99978048,0.999624998,0.999666765,0.999645844,0.999660119,1,1,1,1,1,80.54562902,0.999956071,0.01,256,Adaptive
9,0.999809749,0.999703792,0.999639255,0.999671418,0.999707138,0.999824377,0.999748232,0.999678174,0.999713159,0.999729323,0.999802434,0.999670879,0.999609008,0.999639683,0.999695876,83.40891457,0.999824405,0.01,256,Adaptive
10,0.999990244,0.999985884,0.999985884,0.999985884,0.999984978,1,1,1,1,1,1,1,1,1,1,94.88068295,1,0.01,256,Adaptive
1,0.999365826,0.99898554,0.998770886,0.998876447,0.999024003,0.999517057,0.999201827,0.9990686,0.999134026,0.999256498,0.999446815,0.999097345,0.998917511,0.999005768,0.999148648,55.81283236,0.999824405,0.01,256,ElasticNet
2,0.999829261,0.99980499,0.999707668,0.999756232,0.999737235,0.999824384,0.999817701,0.999691959,0.999754748,0.99972887,0.999920974,0.999932498,0.999843603,0.999888023,0.999878331,74.02651167,0.999824405,0.01,256,ElasticNet
3,0.999921948,0.999962541,0.999846887,0.999904692,0.999879756,0.999824384,0.999914719,0.999656003,0.999785235,0.999731149,0.999920974,0.999962029,0.999843603,0.99990279,0.999878332,66.31145978,1,0.01,256,ElasticNet
4,0.999936583,0.999922377,0.999882201,0.999902282,0.999902401,0.999912192,0.999891751,0.999852377,0.999872031,0.999864322,0.999960487,0.999981013,0.999921802,0.999951401,0.999939165,84.6273973,0.999912202,0.01,256,ElasticNet
