Fold,Train_Accuracy,Train_Precision,Train_Recall,Train_F1,Train_MCC,Val_Accuracy,Val_Precision,Val_Recall,Val_F1,Val_MCC,Test_Accuracy,Test_Precision,Test_Recall,Test_F1,Test_MCC,Training_Time,Val_Accuracy_Epoch,Learning_Rate,batch_size,adaptive_method
10,0.997938448,0.997696801,0.997811466,0.997753553,0.997203949,0.998232435,0.997638706,0.998194946,0.99790968,0.997603027,0.998807631,0.998633792,0.998739496,0.998684076,0.998383933,12.87905359,0.998232424,0.01,256,Adaptive
1,0.999607304,0.999590141,0.99957001,0.999579846,0.99946759,1,1,1,1,1,1,1,1,1,1,13.13294911,1,0.01,256,ElasticNet
2,0.999950913,0.999949166,0.999947884,0.99994852,0.999933387,1,1,1,1,1,1,1,1,1,1,18.72145772,1,0.01,256,ElasticNet
3,0.998625565,0.998554913,0.998571137,0.998558883,0.998137952,1,1,1,1,1,0.997615262,0.99750416,0.997516556,0.997497899,0.996772518,12.63884115,1,0.01,256,ElasticNet
4,0.999656391,0.999639026,0.999642638,0.999640574,0.999534421,0.999558304,0.999512671,0.999537037,0.999524402,0.999395875,1,1,1,1,1,13.40344,1,0.01,256,ElasticNet
5,0.998772825,0.998713121,0.998527077,0.998619016,0.998336251,0.997791519,0.997703676,0.997145512,0.997419881,0.99699555,0.998410175,0.998334581,0.998075065,0.998202962,0.997843919,13.4688642,0.997791529,0.01,256,ElasticNet
6,0.999950913,0.999947895,0.999932469,0.999940175,0.999933338,1,1,1,1,1,1,1,1,1,1,13.91707754,1,0.01,256,ElasticNet
7,0.999607323,0.999590938,0.999570791,0.999580755,0.999467305,1,1,1,1,1,1,1,1,1,1,14.48638082,1,0.01,256,ElasticNet
8,0.999754577,0.999742433,0.999695029,0.999718677,0.999667004,0.999558109,0.999554367,0.999517375,0.999535439,0.999401953,1,1,1,1,1,15.20996809,0.999558091,0.01,256,ElasticNet
9,0.999950915,0.999963821,0.999933084,0.999948446,0.999933435,1,1,1,1,1,1,1,1,1,1,13.37120509,1,0.01,256,ElasticNet
10,0.999361901,0.999436985,0.99925417,0.999345382,0.999134552,0.999558109,0.999672775,0.999548736,0.999610445,0.99940005,0.999602544,0.999708285,0.999457701,0.999582613,0.999460971,11.8976748,1,0.01,256,ElasticNet
1,0.999361869,0.999350992,0.999310405,0.999329928,0.999135071,0.999558304,0.99954955,0.999535316,0.999542014,0.999399173,0.999205087,0.999174917,0.999159664,0.999165901,0.998922449,12.474787,1,0.01,256,FixedL1
2,0.999950913,0.999964008,0.999932669,0.999948333,0.999933386,1,1,1,1,1,1,1,1,1,1,13.30090475,1,0.01,256,FixedL1
3,0.999803652,0.999855762,0.99973176,0.999793668,0.999733668,0.999558304,0.999675325,0.999404762,0.999539583,0.999401291,0.999602544,0.999580537,0.999457701,0.999518648,0.999460998,11.39477849,1,0.01,256,FixedL1
4,0.998772825,0.998504215,0.998909655,0.998706008,0.998337653,0.999116608,0.998730964,0.999390244,0.999058617,0.998792576,0.998807631,0.998498286,0.998873589,0.998685127,0.998383274,14.82034421,1,0.01,256,FixedL1
5,0.999067347,0.999208882,0.998867674,0.9990373,0.998735685,0.998674912,0.998914216,0.998253063,0.998581173,0.998197403,0.998807631,0.998883202,0.998617365,0.998748515,0.998383326,14.1836133,0.9991166,0.01,256,FixedL1
6,0.99739839,0.997612985,0.996700099,0.997152354,0.996468767,0.999116608,0.999292786,0.998878924,0.999084095,0.99881256,0.998807631,0.999126892,0.998373102,0.998746578,0.998383943,10.22590709,1,0.01,256,FixedL1
7,0.999018309,0.998656997,0.999277457,0.998964896,0.998669708,0.999558109,0.999439462,0.999678663,0.999558645,0.999401152,0.999602544,0.999458874,0.999707944,0.999583031,0.999461062,13.44542384,1,0.01,256,FixedL1
8,0.995238796,0.995191316,0.994907088,0.995004586,0.993566672,0.998674326,0.998667851,0.998552124,0.998606105,0.998207401,0.995230525,0.99523674,0.994835852,0.99499418,0.993554884,12.91226101,0.999558091,0.01,256,FixedL1
9,0.999705493,0.999690083,0.999677669,0.99968371,0.999600693,1,1,1,1,1,0.999602544,0.999580537,0.999586093,0.999582967,0.999461014,15.92183042,1,0.01,256,FixedL1
10,0.999901831,0.999867057,0.999927902,0.999897456,0.999866855,1,1,1,1,1,1,1,1,1,1,14.88182831,1,0.01,256,FixedL1
1,0.999656391,0.999593943,0.999655801,0.999624845,0.999534055,1,1,1,1,1,1,1,1,1,1,14.9072485,1,0.01,256,FixedL2
2,0.999410956,0.99942389,0.999192028,0.999307074,0.999200938,1,1,1,1,1,0.999602544,0.999580537,0.999457701,0.999518648,0.999460998,18.70583439,1,0.01,256,FixedL2
3,0.999607304,0.999603328,0.999508969,0.999556008,0.999467297,0.999558304,0.999535316,0.999404762,0.999469468,0.999401324,0.999602544,0.999580537,0.999457701,0.999518648,0.999460998,14.33404398,0.99955833,0.01,256,FixedL2
4,0.997545651,0.997341823,0.997258686,0.997297299,0.996674959,0.998674912,0.998563234,0.998236209,0.998397639,0.998187484,0.997615262,0.99750416,0.99724669,0.997364097,0.996770762,14.57231474,0.998674929,0.01,256,FixedL2
5,0.999263695,0.999317761,0.999153047,0.999235098,0.999001641,0.999558304,0.999680715,0.999360614,0.999520153,0.999399022,0.998807631,0.998997786,0.998501494,0.998747774,0.998383208,14.9209199,0.99955833,0.01,256,FixedL2
6,0.999361869,0.999296349,0.999326296,0.999311216,0.999133443,1,1,1,1,1,0.999602544,0.999586777,0.999579832,0.999582957,0.999461012,16.3905828,1,0.01,256,FixedL2
7,0.999312816,0.999300254,0.999229541,0.999264662,0.999067789,0.999558109,0.999528302,0.999438202,0.999482713,0.999401083,0.999602544,0.999586777,0.999579832,0.999582957,0.999461012,14.18171191,0.999558091,0.01,256,FixedL2
8,0.999558239,0.999522447,0.99955053,0.999536292,0.9994007,0.999558109,0.999554367,0.999517375,0.999535439,0.999401953,1,1,1,1,1,12.82144475,0.999558091,0.01,256,FixedL2
9,0.999361901,0.999468065,0.999145919,0.999306195,0.999134928,0.998674326,0.99888712,0.998179612,0.998529408,0.998198137,0.999205087,0.999162479,0.999043793,0.999101968,0.99892221,13.6309638,0.999558091,0.01,256,FixedL2
10,0.999509154,0.99954659,0.999437549,0.999491983,0.999334247,1,1,1,1,1,0.999602544,0.999708285,0.999457701,0.999582613,0.999460971,17.0701983,1,0.01,256,FixedL2
1,0.998232869,0.998157411,0.99801387,0.998082337,0.997605434,0.999116608,0.999229856,0.99889593,0.999061962,0.998798228,0.999205087,0.999288822,0.998915401,0.999100671,0.998922123,15.45408845,1,0.01,256,MLP
2,0.998625565,0.998370313,0.998675127,0.998522138,0.99813545,0.998674912,0.998468751,0.998768714,0.998616564,0.998209387,0.998410175,0.998211743,0.998325308,0.998267582,0.997843949,14.79104376,0.9991166,0.01,256,MLP
